item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
53,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,28/01/2023 10:30 HORAS,APURIMAC/CHINCHERO/CHINCHERO,KM 543,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.51668418,-73.7268014,-13.51668418+-73.7268014,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
42,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,28/01/2023 10:30 HORAS,APURIMAC/ANDAHUAYLAS/TALAVERA,KM 632,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.65606574,-73.4529822,-13.65606574+-73.4529822,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
34,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,15/01/2023,28/01/2023 10:30 HORAS,APURIMAC/ANDAHUAYLAS/HUANCARAMA,KM 733,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.65747913,-73.06635897,-13.65747913+-73.06635897,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
35,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,15/01/2023,28/01/2023 10:30 HORAS,APURIMAC/ANDAHUAYLAS/HUANCARAMA,KM 738,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.67677411,-73.04171378,-13.67677411+-73.04171378,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
37,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,07/01/2023,28/01/2023 10:30 HORAS,APURIMAC/ANDAHUAYLAS/KISHUARA,KM 689,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.7014497,-73.1694762,-13.7014497+-73.1694762,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
200,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,24/01/2023,28/01/2023 10:30 HORAS,ICA/PISCO/SAN ANDRES,KM 233,LA PNP HA DETENIDO EL TRÁNSITO PARA EVITAR ROBOS EN EL DESIERTO DE ICA,-13.75475763,-76.16427797,-13.75475763+-76.16427797,2023 10:30 HORAS+01+28+10:30,0,6,UD ICA,HUMANO,PE-1S,LONGITUDINAL DE LA COSTA  SUR,SI,interrumpido
192,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,19/01/2023,28/01/2023 10:30 HORAS,ICA/ICA/SALAS,KM 262,SECTOR BARRIO CHINO PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.90949185,-76.0176904,-13.90949185+-76.0176904,2023 10:30 HORAS+01+28+10:30,0,0,UD ICA,HUMANO,PE-1S,LONGITUDINAL DE LA COSTA  SUR,SI,interrumpido
193,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,19/01/2023,28/01/2023 10:30 HORAS,ICA/ICA/SALAS,KM 290,SECTOR  EXPANSION PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.97104864,-75.77886846,-13.97104864+-75.77886846,2023 10:30 HORAS+01+28+10:30,0,0,UD ICA,HUMANO,PE-1S,LONGITUDINAL DE LA COSTA  SUR,SI,interrumpido
131,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/CHECACUPE,KM 1060+300,(PUENTE CHUQUICAHUANA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.981354,-71.488518,-13.981354+-71.488518,2023 10:30 HORAS+01+28+10:30,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
132,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/CHECACUPE,KM 1068,(SECTOR CHECACUPE) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.029308830546,-71.4542260317,-14.029308830546+-71.4542260317,2023 10:30 HORAS+01+28+10:30,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
273,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,28/01/2023 10:30 HORAS,PUNO/CARABAYA/MACUSANI,KM 180,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.0751132,-70.4104037,-14.0751132+-70.4104037,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
133,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/COMBAPATA,KM 1076+500,(PUENTE COMBAPATA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.09266472,-71.44118107,-14.09266472+-71.44118107,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
141,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/TINTA,KM 1083+600,(SECTOR TINTA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.141501,-71.401473,-14.141501+-71.401473,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
138,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/SAN PEDRO,KM 1089+500,(SECTOR SAN JOSE) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.178754,-71.370268,-14.178754+-71.370268,2023 10:30 HORAS+01+28+10:30,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
139,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/SAN PEDRO,KM 1092,(SECTOR SAN PEDRO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.1866,-71.346003,-14.1866+-71.346003,2023 10:30 HORAS+01+28+10:30,0,1,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
196,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,24/01/2023,28/01/2023 10:30 HORAS,ICA/ICA/SANTIAGO,KM 318,SECTOR  SANTIAGO PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.20163694,-75.71521848,-14.20163694+-75.71521848,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-1S,LONGITUDINAL DE LA COSTA  SUR,SI,interrumpido
